company,job_title,city,country,lat_long,ticket,discount,age,gender,times,org_size,background,decision_making,influence
USC Annenberg School of Journalism,Professor of Professional Practice,Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,ona-gold-silver,45-54,Female,2,101-300,Academic | Broadcast,No,Medium
Vox Media,"VP, Vox Entertainment and Creative Director of Vox",Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,speaker,25-34,Male,1,501+,Executive | Pure-Play Digital | Publisher,No,High
With Special Guest Lauren Lapkus,Actress and Comedian,Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,speaker,25-34,Male,null,null,Professional | Pure-Play Digital,Yes,null
Yahoo,"Director, Sports Programming and Production (edito",Los Angeles,,"""34.052234,-118.243685""",Almost There Member,member133kx5w8,35-44,Female,null,null,Professional | Person of Color | Director,No,Low
Yahoo Sports,Deputy Editor,Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,ed-comp,25-34,Male,1,501+,Professional | Person of Color,No,Medium
Yahoo!,Editor,Los Angeles,,"""34.052234,-118.243685""",Almost There Non-Member,ona15-waitlist-nonmember,45-54,Male,1,501+,Professional,No,Medium
Zap2It,Editorial director,Los Angeles,,"""34.052234,-118.243685""",Early-Bird Member - Group,,45-54,_______ (fill in the blank),1,101-300,Professional,No,Medium
Zap2It,Staff editor,Los Angeles,,"""34.052234,-118.243685""",Early-Bird Member - Group,,25-34,Male,1,101-300,Professional,No,Low
Zap2It,Senior editor,Los Angeles,,"""34.052234,-118.243685""",Early-Bird Member - Group,,35-44,Female,1,101-300,Professional,No,Low
Zap2It,Associate editor,Los Angeles,,"""34.052234,-118.243685""",Early-Bird Member - Group,,25-34,Female,1,101-300,Professional,No,Low
Zap2It,Engagement editor,Los Angeles,,"""34.052234,-118.243685""",Early-Bird Member - Group,,35-44,Female,1,101-300,Professional,No,Medium
Los Angeles Times,Graphics Editor,Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,exhibitor-only,45-54,Male,3,501+,Manager,No,Low
Los Angeles Times,Editor,Los Angeles,,"""34.052234,-118.243685""",Complimentary Registration,exhibitor-only,45-54,Male,3,501+,Manager,No,High
JanineWarner.com,Digital Alchemist,Los Angeles,,"""34.052234,-118.243685""",Getting Closer Member,member133kx5w8,45-54,Female,null,null,Entrepreneur/Start up,Yes,null
Heart & Soul Magazine,Reporter/Producer,Los Angeles,,"""34.052234,-118.243685""",Student Non-Member,,25-34,Female,1,11-25,Professional | Academic | Student | Person of Color | Broadcast | Print,Yes,null
Pepperdine University,Assistant Professor,Malibu,,"""34.025922,-118.779757""",Early-Bird Member,member133kx5w8,35-44,Female,1,3-10,Professional | Academic,No,Low
Pepperdine University,Professor,Malibu,,"""34.025922,-118.779757""",Early-Bird Member,member133kx5w8,55-64,Male,1,null,Professional | Academic | Broadcast,No,Medium
Pepperdine University,Director of Student Journalism,Malibu,,"""34.025922,-118.779757""",Student Member,member133kx5w8,35-44,Female,1,null,Professional | Academic | Student | Director,No,High
Pepperdine University,Assistant Director,Malibu,,"""34.025922,-118.779757""",Student Non-Member,,35-44,Female,1,null,Professional | Academic | Student | Manager | Broadcast | Print,Yes,null
Discors,Founder & CEO,Menlo Park,,"""37.45296,-122.181725""",Complimentary Registration,midway-fullpass,25-34,Male,1,3-10,Professional | Entrepreneur/Start up  | Executive | Pure-Play Digital | Publisher,Yes,null
Discors,Founder & Developer,Menlo Park,,"""37.45296,-122.181725""",Complimentary Registration,midway-only,25-34,Male,1,3-10,Professional | Entrepreneur/Start up  | Executive | Pure-Play Digital | Publisher,Yes,null
Discors,Designer,Menlo Park,,"""37.45296,-122.181725""",Complimentary Registration,midway-only,25-34,Male,1,3-10,Professional | Entrepreneur/Start up  | Executive | Pure-Play Digital | Publisher,Yes,null
Facebook,Media Research,Menlo Park,,"""37.45296,-122.181725""",Almost There Member,member133kx5w8,18-24,Male,1,501+,Professional | Person of Color,No,Medium
Facebook,Partner Engineer,Menlo Park,,"""37.45296,-122.181725""",Almost There Non-Member,,45-54,Male,null,null,Developer | Technologist,No,High
Facebook,Product Marketing,Menlo Park,,"""37.45296,-122.181725""",Complimentary Registration,midway-only,25-34,Male,1,null,Professional,No,Medium
Facebook,"Director, Media Solutions",Menlo Park,,"""37.45296,-122.181725""",Getting-Closer Non-Member,,35-44,Male,null,null,Professional,No,None
InfiniGraph,VP of Sales,Menlo Park,,"""37.45296,-122.181725""",Almost There Member,member133kx5w8,25-34,Male,1,3-10,Professional,Yes,null
InfiniGraph KRAKEN Video Machine Learning,CEO,Menlo Park,,"""37.45296,-122.181725""",Almost There Member,member133kx5w8,45-54,Male,1,null,Executive,Yes,null
Kaiser Family Foundation,Communications Officer,Menlo Park,,"""37.45296,-122.181725""",Almost There Member,member133kx5w8,35-44,Female,1,101-300,Professional | Nonprofit | Communications/Marketing,No,Medium
Kaiser Family Foundation,VP & Exec Director,Menlo Park,,"""37.45296,-122.181725""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Nonprofit | Executive | Director | Manager | Technologist | Broadcast | Print | Communications/Marketing  | Publisher,Yes,null
Kaiser Family Foundation,VP of Communications,Menlo Park,,"""37.45296,-122.181725""",Early-Bird Member,member133kx5w8,45-54,Male,1,101-300,Professional | Person of Color | Nonprofit | Communications/Marketing,No,Medium
Stanford University,Stanford Student,Menlo Park,,"""37.45296,-122.181725""",Student Non-Member,,35-44,Male,1,null,Academic | Student,No,None
Watchup,CEO,Menlo Park,,"""37.45296,-122.181725""",Almost There Member,member133kx5w8,35-44,Male,null,null,Executive,Yes,null
Google,Google - Corporate Communications,Mill Valley,,"""37.906037,-122.544976""",Complimentary Registration,ona-diamond,45-54,Female,2,501+,Professional | Manager | Technologist,No,High
Public Radio International (PRI),Social Media Manager,Minneapolis,,"""44.977753,-93.265011""",Early-Bird Member,member133kx5w8,25-34,Female,1,101-300,Professional | Person of Color | Nonprofit | Manager,No,Medium
Orange County Business Journal,Reporter,Mission Viejo,,"""33.600023,-117.671995""",Complimentary Registration,volunteer,35-44,Female,null,null,Professional | Print,No,Low
Monterey Herald,Reporter,Monterey,,"""36.600238,-121.894676""",Getting Closer Member,member133kx5w8,25-34,Male,null,null,Professional | Print,No,Low
Google,"Data and Trends Manager, News Lab",Mountain View,,"""37.386052,-122.083851""",Almost There Member,member133kx5w8,25-34,Female,1,501+,Professional,Yes,null
Google,"Strategic Partner Manager, Newsstand",Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Female,1,501+,Professional,No,Low
Google,Community Manager,Mountain View,,"""37.386052,-122.083851""",Early-Bird Member,member133kx5w8,25-34,Female,1,501+,Professional | Person of Color,No,Medium
Google,"Partner Operations Manager, Google News & Play New",Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,35-44,Female,2,501+,Professional,No,Low
Google,Senior Director of News and Social Products,Mountain View,,"""37.386052,-122.083851""",Complimentary Registration,speaker,55-64,Male,1,null,Professional,No,High
Google,"Product Specialist, Google News",Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Female,2,501+,Professional,No,Low
Google,"Head of Publisher Dev, GCS",Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,35-44,Female,1,501+,Professional,No,Medium
Google,"Partner Manager, Google Play Newsstand",Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Female,1,501+,Professional,No,Low
Google,Product Manager,Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Male,1,501+,Professional,No,Low
Google,Product Manager,Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Male,1,501+,Professional,No,Low
Google,Data Editor,Mountain View,,"""37.386052,-122.083851""",Almost There Member,member133kx5w8,45-54,Male,1,501+,Professional,No,Low
Google,Program Manager,Mountain View,,"""37.386052,-122.083851""",Early-Bird Member - Group,,25-34,Female,3,501+,Professional,No,Low
News Lab at Google,Emerging Partnerships,Mountain View,,"""37.386052,-122.083851""",Complimentary Registration,midway-fullpass,25-34,Male,1,null,Professional,Yes,null
TIME.com,Editor,New York,,"""40.712784,-74.005941""",Almost There Member,member133kx5w8,25-34,Female,4-7,501+,Professional | Manager | Pure-Play Digital | Publisher,No,Medium
California State University - Northridge,Associate Professor. Journalism.,Northridge,,"""34.238125,-118.530123""",Almost There Member,member133kx5w8,45-54,Female,2,501+,Academic,No,Medium
CSUN,Grad Student,Northridge,,"""34.238125,-118.530123""",Complimentary Registration,volunteer,18-24,Female,1,1-2,Student,No,None
Los Angeles Times,Social Media Producer,Northridge,,"""34.238125,-118.530123""",Complimentary Registration,cnn-diversity-comps,25-34,Female,2,101-300,Professional | Person of Color,No,Low
"The Sundial, CSUN",staff writer,Northridge,,"""34.238125,-118.530123""",Student Non-Member,,18-24,Female,1,26-100,Student,No,Low
"The Sundial, CSUN",staff writer,Northridge,,"""34.238125,-118.530123""",Student Non-Member,,18-24,Female,1,26-100,Student,No,Low
"The Sundial, CSUN",Managing Editor,Northridge,,"""34.238125,-118.530123""",Student Non-Member,,18-24,Female,1,26-100,Student,No,High
"The Sundial, CSUN",Sports Editor,Northridge,,"""34.238125,-118.530123""",Student Non-Member,,18-24,Male,1,26-100,Student,No,Low
"The Sundial, CSUN",Publisher,Northridge,,"""34.238125,-118.530123""",Almost There Member,,35-44,Female,1,26-100,Academic,Yes,null
Cerritos College,Adjunct Instructor,Norwalk,,"""41.117744,-73.408158""",Getting Closer Member,member133kx5w8,25-34,Female,null,null,Professional | Academic | Independent News/Local,No,High
Al Jazeera/AJ+,Deputy Producer,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,speaker,25-34,Female,1,null,Professional | Person of Color | Manager | Pure-Play Digital,No,Medium
Beacon,Director of Strategic Partnerships,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,speaker,18-24,Female,1,null,Professional | Entrepreneur/Start up  | Manager | Communications/Marketing,No,High
Beacon,CEO,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,knight,25-34,Male,1,3-10,Professional,Yes,null
CivImpact Labs,Founder/CEO,Oakland,,"""37.804364,-122.271114""",Early-Bird Member,member133kx5w8,55-64,Male,1,1-2,Professional | Person of Color | Entrepreneur/Start up  | Executive | Technologist | Pure-Play Digital | Vendor | Publisher,Yes,null
EdSource,Social Media and Engagement Specialist,Oakland,,"""37.804364,-122.271114""",Early-Bird Member,member133kx5w8,25-34,Female,1,null,Professional | Person of Color | Nonprofit | Entry Level | Communications/Marketing  | Independent News/Local,No,Low
EdSource Today,Deputy Director,Oakland,,"""37.804364,-122.271114""",Early-Bird Member,member133kx5w8,45-54,Female,3,11-25,Professional | Person of Color | Nonprofit | Executive,No,High
Freelance,Freelance,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,volunteer,25-34,Male,null,null,Nonprofit | Print | Communications/Marketing,No,None
"Global Student Square/John S. Knight Fellowships, Stanford",Executive Director/Fellow,Oakland,,"""37.804364,-122.271114""",Early-Bird Member,member133kx5w8,55-64,Female,3,1-2,Entrepreneur/Start up  | Nonprofit,Yes,null
Maynard Institute,Acting Executive Director,Oakland,,"""37.804364,-122.271114""",Getting Closer Member,member133kx5w8,55-64,Female,null,null,Nonprofit | Executive | Director,Yes,null
Mother Jones,Reporter,Oakland,,"""37.804364,-122.271114""",Getting Closer Member,member133kx5w8,25-34,Female,null,null,Professional,No,None
Motherboard,Contributing Editor,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,speaker,25-34,Female,1,null,Professional | Person of Color,No,None
San Francisco Chronicle,Digital Designer/Developer,Oakland,,"""37.804364,-122.271114""",Complimentary Registration,HBCU,25-34,Male,1,101-300,Professional | Person of Color | Manager | Developer,No,Medium
UC Berkeley,Assistant Professor,Oakland,,"""37.804364,-122.271114""",Early-Bird Member,member133kx5w8,45-54,Male,4-7,101-300,Academic,No,High
Youth Radio,Senior Producer,Oakland,,"""37.804364,-122.271114""",Almost There Member,member133kx5w8,35-44,Male,1,26-100,Professional | Academic | Nonprofit | Manager | Independent News/Local,No,Medium
Youth Radio,Reporter/Producer,Oakland,,"""37.804364,-122.271114""",Almost There Member,member133kx5w8,35-44,Male,1,26-100,Professional | Academic | Nonprofit | Broadcast | Independent News/Local,No,Low
Digital First Media,Director of Audience Development,Ontario,,"""34.063344,-117.650888""",Almost There Member,member133kx5w8,35-44,Male,1,501+,Director,No,High
Inland Valley Daily Bulletin,Reporter,Ontario,,"""34.063344,-117.650888""",Complimentary Registration,volunteer,25-34,Female,null,null,Print,No,None
Los Angeles News Group,Senior Editor,Ontario,,"""34.063344,-117.650888""",Early-Bird Member,member133kx5w8,35-44,Female,1,101-300,Professional | Manager,No,Medium
Gannett / Desert Sun,Digital Producer,Palm Springs,,"""33.830296,-116.545292""",Early-Bird Member,member133kx5w8,18-24,Female,1,501+,Professional | Entry Level,No,Low
Gannett/The Desert Sun,Executive Editor,Palm Springs,,"""33.830296,-116.545292""",Early-Bird Member,member133kx5w8,45-54,Male,1,null,Professional,No,High
Self-employed,Digital news consultant,Palm Springs,,"""33.830296,-116.545292""",Getting Closer Member,member133kx5w8,55-64,Male,null,null,Professional | LGBT | Entrepreneur/Start up  | Executive,Yes,null
The Desert Sun,Consumer Experience Director,Palm Springs,,"""33.830296,-116.545292""",Complimentary Registration,speaker,25-34,Female,4-7,null,Professional | Director | Manager,No,Medium
The Desert Sun,"Strategist, partnerships and events",Palm Springs,,"""33.830296,-116.545292""",Early-Bird Member,member133kx5w8,35-44,Female,1,26-100,Professional | Manager | Print | Independent News/Local,No,Medium
The Desert Sun,Audience Analyst,Palm Springs,,"""33.830296,-116.545292""",Early-Bird Member,member133kx5w8,25-34,Male,1,101-300,Professional | LGBT | Print,No,Low
JSK Fellowship,journalist,Palo Alto,,"""37.441883,-122.143019""",Student Non-Member,,35-44,Female,1,26-100,Print,No,Medium
None,Retired,Palo Alto,,"""37.441883,-122.143019""",Getting-Closer Member - Approved Late,getting-closer-member-late,65+,Female,1,1-2,Other,No,None
Oximity,CEO,Palo Alto,,"""37.441883,-122.143019""",Almost There Member,ona15-waitlist-member,35-44,Male,1,null,Professional | Publisher,Yes,null
Stanford University,JSK/Knight fellow,Palo Alto,,"""37.441883,-122.143019""",Student Member,member133kx5w8,45-54,Female,1,3-10,Professional | Nonprofit | Director,Yes,null
Stanford University,JSK Fellow,Palo Alto,,"""37.441883,-122.143019""",Student Non-Member,,35-44,Female,1,26-100,Professional | Academic | Student | Print,No,Medium
Stanford University,JKS Fellow,Palo Alto,,"""37.441883,-122.143019""",Student Non-Member,,45-54,Female,1,11-25,Student,Yes,null
Freelance,Independent Radio Producer,Pasadena,,"""34.147785,-118.144516""",ONA Guest Day Pass,guest,25-34,Female,1,null,Professional | LGBT | Developer | Independent News/Local,Yes,null
NASA Jet Propulsion Laboratory,Media Relations Specialist,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,45-54,Male,null,null,Professional,No,None
NASA Jet Propulsion Laboratory,Media Relations Specialist,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,35-44,Female,null,null,Professional,No,None
NASA Jet Propulsion Laboratory,Media Relations Specialist,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,45-54,Female,null,null,Professional,No,None
NASA Jet Propulsion Laboratory,Media Relations Specialists,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,35-44,Female,null,null,Professional,No,None
NASA Jet Propulsion Laboratory,Media Manager,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,45-54,Female,null,null,Professional,Yes,null
NASA Jet Propulsion Laboratory,Media Group Supervisor,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,55-64,Female,null,null,Professional,No,Medium
NASA Jet Propulsion Laboratory,Media Relations Specialist,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,35-44,Female,null,null,Professional,No,None
NASA Jet Propulsion Laboratory,Media Relations Specialist,Pasadena,,"""34.147785,-118.144516""",Getting-Closer Member - Approved Late,approved-late-member133kx5w8,55-64,Male,null,null,Professional,No,None
KPCC Southern California Public Radio,Data Editor/News Applications Developer,Pasadena,,"""34.147785,-118.144516""",Complimentary Registration,speaker,35-44,Male,3,null,Manager | Developer | Broadcast,No,Medium
MUSE,Journalist,Pasadena,,"""34.147785,-118.144516""",Complimentary Registration,volunteer,25-34,Female,null,null,Independent News/Local,No,Medium
NASA Jet Propulsion Laboratory,Visualization Producer,Pasadena,,"""34.147785,-118.144516""",Complimentary Registration,midway-only,25-34,Male,1,501+,Professional | Nonprofit | Developer | Technologist | Communications/Marketing,No,Medium
NASA Jet Propulsion Laboratory,Public Engagement Lead,Pasadena,,"""34.147785,-118.144516""",Complimentary Registration,midway-only,25-34,Female,1,501+,Professional | Nonprofit | Technologist | Communications/Marketing,No,Medium
NASA Jet Propulsion Laboratory,Social Media Specialist,Pasadena,,"""34.147785,-118.144516""",Complimentary Registration,midway-only,25-34,Female,1,501+,Professional | Nonprofit | Communications/Marketing,No,Medium
PCC,Student,Pasadena,,"""34.147785,-118.144516""",Student Non-Member,,35-44,Male,1,null,Student,No,Medium
Southern California Public Radio,Producer Digital Media,Pasadena,,"""34.147785,-118.144516""",Getting Closer Member,member133kx5w8,25-34,Female,1,null,Professional,No,None
Southern California Public Radio,Director of Digital Media,Pasadena,,"""34.147785,-118.144516""",Getting Closer Member,member133kx5w8,35-44,Female,null,null,Professional,No,Medium
Southern California Public Radio,VP Of Content,Pasadena,,"""34.147785,-118.144516""",Getting Closer Member,member133kx5w8,55-64,Female,null,null,Professional,No,High
Southern California Public Radio (KPCC),Senior Producer,Pasadena,,"""34.147785,-118.144516""",Getting Closer Member,member133kx5w8,25-34,Female,null,null,Professional | Nonprofit | Manager | Broadcast,No,High
Southern California Public Radio/PIN,Public Engagement Editor,Pasadena,,"""34.147785,-118.144516""",Almost There Member,member133kx5w8,25-34,Female,1,null,Professional | Person of Color | Nonprofit | Broadcast,No,Medium
Miami's ABC affiliate,Digital Reporter,Pembroke Park,,"""25.987869,-80.174769""",Student Non-Member,,25-34,Female,2,null,Professional | Student,No,Low
Gannett Co.,"Vice President, Local Digital Solutions Network",Phoenix,,"""33.448377,-112.074037'",Getting Closer Member,member133kx5w8,45-54,Male,null,null,Executive,No,Medium
Facebook,Media Operations,Playa Vista,,"""33.97279,-118.427578""",Complimentary Registration,midway-only,25-34,Female,1,501+,Executive | Communications/Marketing,Yes,null
Azusa Pacific University,Student,Pomona,,"""34.055103,-117.749991""",Complimentary Registration,studentnewsroom-student,18-24,Female,1,null,Student,Yes,null
The Beacon,News Editor,Portland,,"""45.523062,-122.676482""",Student Member,member133kx5w8,18-24,Female,1,null,Student | Entry Level,No,Low
University of Portland,Ass't Director of Student Media,Portland,,"""45.523062,-122.676482""",Early-Bird Member,member133kx5w8,55-64,Female,1,26-100,Academic,Yes,null
Bonten Media Group,VP/Director - Digital Content & Systems,Redding,,"""40.58654,-122.391675""",Early-Bird Member,member133kx5w8,25-34,Male,1,501+,Professional | Executive | Director | Broadcast,Yes,null
Xaltiska Multimedia,Owner,Redlands,,"""34.055569,-117.182538""",Complimentary Registration,volunteer,35-44,Female,null,null,Professional | Academic | Student | Person of Color | LGBT | Nonprofit | Broadcast | Print | Communications/Marketing  | Independent News/Local | Vendor | Publisher,No,Low
Machina Inc,CEO,Redondo Beach,,"""33.849182,-118.388408""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Entrepreneur/Start up,Yes,null
South Bay Magazine,Freelance Writer,Redondo Beach,,"""33.849182,-118.388408""",Complimentary Registration,volunteer,25-34,Female,null,null,Professional | Person of Color | LGBT | Entrepreneur/Start up  | Executive | Director | Manager | Entry Level | Broadcast | Print | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Publisher,No,Medium
Banjo,Account Executive,Redwood City,,"""37.485215,-122.236355""",Complimentary Registration,midway-only,18-24,Female,null,null,Professional,No,High
Banjo,Chief Marketing Officer,Redwood City,,"""37.485215,-122.236355""",Midway-Only Additional Pass,midway-only-additionalpass,35-44,Female,1,null,Professional,Yes,null
Banjo,VP of Business Development,Redwood City,,"""37.485215,-122.236355""",Almost There Member,ona15-waitlist-member,35-44,Male,1,null,Professional,Yes,null
Banjo,Media Innovation Director,Redwood City,,"""37.485215,-122.236355""",Complimentary Registration,midway-fullpass,35-44,Male,null,null,Professional,No,High
Banjo,Account Executive,Redwood City,,"""37.485215,-122.236355""",Midway-Only Additional Pass,midway-only-additionalpass,25-34,Male,1,null,Professional,No,Medium
Banjo,Founder and CEO,Redwood City,,"""37.485215,-122.236355""",Complimentary Registration,speaker,45-54,Male,3,101-300,Professional | Entrepreneur/Start up  | Executive | Communications/Marketing  | Vendor,Yes,null
Banjo,Marketing Manager,Redwood City,,"""37.485215,-122.236355""",Complimentary Registration,midway-only,18-24,Female,null,null,Professional,No,High
Banjo,Account Executive,Redwood City,,"""37.485215,-122.236355""",Midway-Only Additional Pass,midway-only-additionalpass,25-34,Male,1,null,Professional,No,Medium
The Press-Enterprise,Features and Entertainment Editor,Riverside,,"""33.953349,-117.396156""",Complimentary Registration,volunteer,25-34,Female,null,null,Professional | Manager | Print,No,Medium
"University of California, Riverside",Professor,Riverside,,"""33.953349,-117.396156""",Complimentary Registration,speaker,45-54,Female,1,null,Academic,No,High
Southern California Edison,Social Media Community Manager,Rosemead,,"""34.080565,-118.072846""",Early-Bird Member,member133kx5w8,25-34,Female,2,3-10,Professional | Communications/Marketing,No,Medium
CHCF Center for Health Reporting/USC Annenberg,Columnist and Senior Writer,Sacramento,,"""38.581572,-121.4944""",Getting Closer Member,member133kx5w8,35-44,Female,null,null,Professional | Broadcast | Print,No,Medium
Capital Public Radio,Digital News Editor,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,volunteer-video-team,25-34,Female,null,null,Professional | Person of Color | Nonprofit,Yes,null
CSU Sacramento,college professor,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,volunteer,45-54,Female,null,null,Academic,Yes,null
KXTV,Director of Digital Strategy,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,speaker,35-44,Male,2,null,Director | Manager | Broadcast,No,Medium
KXTV/News10,Digital/Social/Mobile Producer,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,volunteer,18-24,Male,null,null,Professional | Person of Color,No,Low
News10,Executive Producer of Digital and Social,Sacramento,,"""38.581572,-121.4944""",Getting Closer Member,member133kx5w8,25-34,Female,null,null,Professional | Manager | Broadcast,No,Medium
Storybrook Media,Video Storyteller,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,volunteer-video-team,35-44,Female,null,null,Professional | Person of Color | Entrepreneur/Start up  | Broadcast | Print | Communications/Marketing,Yes,null
The McClatchy Company,Talent Acquisition Specialist,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,exhibitor-only,45-54,Female,1,501+,Professional | Person of Color | LGBT | Entrepreneur/Start up  | Executive | Director | Manager | Developer | Technologist | Broadcast | Print | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Vendor | Publisher,No,Low
The McClatchy Company,Guest,Sacramento,,"""38.581572,-121.4944""",Early-Bird Member - Approved Late,approved-late-EB,45-54,Female,4-7,501+,Professional | Student | Person of Color | LGBT | Executive | Director | Manager | Developer | Technologist | Broadcast | Print | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Vendor | Publisher,No,None
The McClatchy Company,Human Resource Director,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,exhibitor-only,45-54,Female,8-14,501+,Professional | Person of Color | LGBT | Entrepreneur/Start up  | Executive | Director | Manager | Developer | Technologist | Broadcast | Print | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Vendor | Publisher,No,High
The Sports Xchange,COO,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,exhibitor-fullpass-withbanquet,35-44,Male,2,11-25,Professional | Executive | Communications/Marketing  | Vendor | Publisher,Yes,null
The Sports Xchange,Managing Editor,Sacramento,,"""38.581572,-121.4944""",Complimentary Registration,exhibitor-only,35-44,Male,1,11-25,Professional | Manager | Publisher,No,Medium
YouTube,"Manager, News Partnerships",San Bruno,,"""37.63049,-122.411084""",Early-Bird Member - Group,,25-34,Male,3,501+,Professional,No,Low
YouTube,"Partner Operations Specialist, News",San Bruno,,"""37.63049,-122.411084""",Early-Bird Member - Group,,25-34,Female,1,501+,Professional,No,Low
Fox 5 News / Tribune Media,Digital Content Manager,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,55-64,Male,1,101-300,Professional | Manager | Broadcast | Communications/Marketing  | Independent News/Local,No,Medium
FOX 5 San Diego,Web Producer,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,25-34,Female,1,26-100,Professional | Broadcast | Independent News/Local,No,Low
KNSD,Integrated Media,San Diego,,"""32.715738,-117.161084""",Early-Bird Member - Group,,45-54,Male,1,null,Professional,No,Low
KNSD,Assistant Director of Integrated Media,San Diego,,"""32.715738,-117.161084""",Early-Bird Member - Group,,25-34,Female,1,null,Professional,No,Low
KPBS,Multimedia Producer,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,25-34,Female,1,26-100,Professional | Nonprofit | Broadcast | Print | Independent News/Local,No,Low
KPBS,News & Digital Editor,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,55-64,Female,1,26-100,Professional | Manager | Broadcast | Print,No,Medium
KSWB,Web Producer,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,25-34,Female,1,101-300,Professional | Entry Level,No,Medium
Point Loma Nazarene University,Assistant Professor,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,45-54,Male,3,3-10,Professional | Academic,No,High
San Diego State University,Associate Professor,San Diego,,"""32.715738,-117.161084""",Early-Bird Member,member133kx5w8,35-44,Female,4-7,11-25,Professional | Academic,Yes,null
SDSU School of Journalism & Media Studies,Lecturer/Internship Coordinator,San Diego,,"""32.715738,-117.161084""",Almost There Member,member133kx5w8,35-44,Female,1,11-25,Academic | Person of Color,No,Medium
The San Diego Union-Tribune,Online news director,San Diego,,"""32.715738,-117.161084""",Getting Closer Member,member133kx5w8,45-54,Male,null,null,Professional | Director | Manager | Print,No,High
Voice of San Diego,Staff Writer,San Diego,,"""32.715738,-117.161084""",Complimentary Registration,speaker,25-34,Female,1,null,Professional | Nonprofit,No,Low
Voice of San Diego,Managing Editor,San Diego,,"""32.715738,-117.161084""",Getting-Closer Non-Member,,25-34,Female,null,null,Professional | Nonprofit | Manager,No,High
Voice of San Diego,Digital Manager,San Diego,,"""32.715738,-117.161084""",Getting-Closer Non-Member,,25-34,Male,null,null,Professional | Nonprofit,No,High
Voice of San Diego,Publisher/COO,San Diego,,"""32.715738,-117.161084""",Getting-Closer Non-Member,,35-44,Female,null,null,Professional | Nonprofit | Executive | Communications/Marketing  | Independent News/Local | Publisher,Yes,null
AJ+,Engagement Lead,San Francisco,,"""37.77493,-122.419416""",Early-Bird Member,member133kx5w8,35-44,Male,3,101-300,Professional | Person of Color | Entrepreneur/Start up  | Nonprofit | Executive | Director | Manager | Technologist | Broadcast | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Publisher,Yes,null
AJ+,Senior Producer,San Francisco,,"""37.77493,-122.419416""",Complimentary Registration,speaker,25-34,Female,1,null,Professional | Person of Color | Manager | Pure-Play Digital,No,Medium
AJ+,Executive Producer,San Francisco,,"""37.77493,-122.419416""",Early-Bird Member,member133kx5w8,25-34,Male,1,26-100,Professional,No,High
